premise,hypothesis,similarity_score,label
"The text describes how to contact the company with questions, concerns, or complaints about the privacy policy.","(2)  Disclose, by July 1 of every calendar year, the information compiled in subsection 
(a)(1) within their privacy policy or posted on their website and accessible from a link 
included in their privacy policy.",0.5120234489440918,Neutral
An unnamed third party does receive unspecified information about you for service operations or security. You can choose not to use the service or feature for the collection or sharing and use of your information.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.6145211458206177,Contradiction
An unnamed third party does receive unspecified information about you for service operations or security. You can choose not to use the service or feature for the collection or sharing and use of your information.,"In its disclosure, a business may choose to disclose 
the number of requests that it denied in whole or in part because the request was 
not verifiable, was not made by a consumer, called for information exempt from 
disclosure, or was denied on other grounds.",0.5039697885513306,Neutral
An unnamed third party does receive unspecified information about you for service operations or security. You can choose not to use the service or feature for the collection or sharing and use of your information.,"CPPA
 
Page 63 of 67 
(b)  A business may choose to compile and disclose the information required by subsection 
(a)(1) for requests received from all individuals, rather than requests received from 
consumers.",0.508023202419281,Neutral
An unnamed third party does not do something outside of our label scheme with unspecified information about you for an unspecified purpose.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5282657742500305,Neutral
A named third party does receive unspecified information about you for service operations or security.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.512628972530365,Contradiction
An unnamed third party does not receive your unspecified personal information for service operations or security.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5401480197906494,Neutral
An unnamed third party does not receive unspecified information about you for an unspecified purpose.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5276368856430054,Neutral
An unnamed third party does not receive your unspecified personal information for an unspecified purpose.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5594590902328491,Neutral
An unnamed third party does not receive your unspecified personal information for an unspecified purpose.,"(e)  Other than as required by subsection (b), a business is not required to retain personal 
information solely for the purpose of fulfilling a consumer request made under the CCPA.",0.5161712765693665,Neutral
A named third party does not receive unspecified information about you for service operations or security.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5450692176818848,Neutral
An unnamed third party does receive your unspecified personal information for service operations or security.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5149680972099304,Contradiction
An unnamed third party does receive your unspecified personal information for a basic service or feature.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5105388164520264,Contradiction
An unnamed third party does receive your unspecified personal information for an additional (non-basic) service or feature.,"Information maintained for 
record-keeping purposes shall not be shared with any third party except as necessary to 
comply with a legal obligation.",0.5105686783790588,Contradiction
An unnamed third party does receive your unspecified personal information for an additional (non-basic) service or feature.,"(e)  Other than as required by subsection (b), a business is not required to retain personal 
information solely for the purpose of fulfilling a consumer request made under the CCPA.",0.508583128452301,Neutral
A third party outside of our label scheme does receive your unspecified personal information for legal requirements. The data is personally identifiable.,Requirements for Businesses Collecting Large Amounts of Personal Information.,0.509003758430481,Neutral
